Team 1,Team 2,Winner,Margin,Ground,Match Date,Year,Scorecard
b'KKR',b'Guj Lions',b'Guj Lions',b'5 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980975.html'
b'Kings XI',b'RCB',b'RCB',b'1 run',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980977.html'
b'Supergiants',b'Sunrisers',b'Sunrisers',b'4 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980979.html'
b'RCB',b'Mum Indians',b'Mum Indians',b'6 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980981.html'
b'Sunrisers',b'Daredevils',b'Daredevils',b'7 wickets',b'Hyderabad (Deccan)',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980983.html'
b'Mum Indians',b'Kings XI',b'Kings XI',b'7 wickets',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980985.html'
b'RCB',b'Guj Lions',b'RCB',b'144 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980987.html'
b'KKR',b'Supergiants',b'KKR',b'8 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980989.html'
b'Kings XI',b'Sunrisers',b'Sunrisers',b'7 wickets',b'Mohali',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980991.html'
b'Mum Indians',b'Daredevils',b'Mum Indians',b'80 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980993.html'
b'KKR',b'RCB',b'RCB',b'9 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980995.html'
b'Supergiants',b'Daredevils',b'Supergiants',b'19 runs',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980997.html'
b'RCB',b'Kings XI',b'RCB',b'82 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/980999.html'
b'Guj Lions',b'KKR',b'Guj Lions',b'6 wickets',b'Kanpur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981001.html'
b'Daredevils',b'Sunrisers',b'Daredevils',b'6 wickets',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981003.html'
b'Supergiants',b'Kings XI',b'Supergiants',b'4 wickets',b'Visakhapatnam',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981005.html'
b'Guj Lions',b'Mum Indians',b'Guj Lions',b'6 wickets',b'Kanpur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981007.html'
b'KKR',b'Sunrisers',b'KKR',b'22 runs',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981009.html'
b'Daredevils',b'RCB',b'RCB',b'6 wickets',b'Raipur',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981011.html'
b'Guj Lions',b'RCB',b'RCB',b'4 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981013.html'
b'Sunrisers',b'KKR',b'Sunrisers',b'22 runs',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981015.html'
b'Guj Lions',b'Sunrisers',b'Sunrisers',b'4 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981017.html'
b'RCB',b'Sunrisers',b'Sunrisers',b'8 runs',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2016/engine/match/981019.html'
b'KKR',b'Mum Indians',b'KKR',b'7 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829705.html'
b'Super Kings',b'Daredevils',b'Super Kings',b'1 run',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829707.html'
b'Kings XI',b'Royals',b'Royals',b'26 runs',b'Pune',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829709.html'
b'Super Kings',b'Sunrisers',b'Super Kings',b'45 runs',b'Chennai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829711.html'
b'KKR',b'RCB',b'RCB',b'3 wickets',b'Kolkata',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829713.html'
b'Daredevils',b'Royals',b'Royals',b'3 wickets',b'Delhi',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829715.html'
b'Mum Indians',b'Kings XI',b'Kings XI',b'18 runs',b'Mumbai',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829717.html'
b'RCB',b'Sunrisers',b'Sunrisers',b'8 wickets',b'Bengaluru',NA,NA,b'http://stats.espncricinfo.com/indian-premier-league-2015/engine/match/829719.html'
